ax;ay;az;temp;dax;day;daz;iax;iay;iaz;norm
-0.80;0.20;0.33;224812;-0.21;-0.42;-0.83;-10.61;-1.13;5.06;0.79
-0.85;-0.05;0.30;224812;-0.50;-2.45;-0.23;-10.69;-1.14;5.09;0.82
-0.79;-0.28;0.36;224812;0.58;-2.31;0.62;-10.77;-1.17;5.12;0.84
-0.70;-0.86;0.58;224812;0.91;-5.86;2.16;-10.84;-1.25;5.18;1.58
-0.81;-0.39;0.46;224812;-1.12;4.78;-1.22;-10.92;-1.29;5.23;1.02
-0.81;-0.17;0.37;224812;0.02;2.17;-0.83;-11.01;-1.31;5.26;0.83
-0.80;0.11;0.29;224813;0.11;2.75;-0.88;-11.09;-1.30;5.29;0.74
-0.76;0.25;0.40;224813;0.40;1.42;1.09;-11.16;-1.27;5.33;0.80
-0.78;0.25;0.41;224813;-0.20;-0.03;0.10;-11.24;-1.25;5.37;0.83
-0.81;0.13;0.34;224813;-0.34;-1.10;-0.62;-11.32;-1.24;5.41;0.80
-0.83;-0.02;0.32;224813;-0.11;-1.60;-0.27;-11.40;-1.24;5.44;0.78
-0.80;-0.17;0.35;224813;0.30;-1.48;0.38;-11.48;-1.26;5.48;0.79
-0.79;-0.64;0.51;224813;0.08;-4.68;1.60;-11.56;-1.32;5.53;1.30
-0.76;-0.47;0.48;224813;0.28;1.69;-0.34;-11.64;-1.37;5.57;1.03
-0.80;-0.17;0.33;224813;-0.43;2.96;-1.51;-11.72;-1.38;5.61;0.78
-0.81;0.04;0.28;224813;-0.07;2.19;-0.52;-11.80;-1.38;5.64;0.73
-0.76;0.37;0.19;224814;0.47;3.27;-0.90;-11.88;-1.34;5.65;0.75
-0.75;0.34;0.37;224814;0.12;-0.34;1.84;-11.95;-1.31;5.69;0.81
-0.84;0.07;0.36;224814;-0.89;-2.64;-0.10;-12.03;-1.30;5.73;0.84
-0.82;0.05;0.30;224814;0.18;-0.27;-0.57;-12.12;-1.30;5.76;0.77
-0.81;-0.11;0.33;224814;0.13;-1.57;0.26;-12.20;-1.31;5.79;0.77
-0.79;-0.52;0.47;224814;0.17;-4.07;1.41;-12.28;-1.36;5.84;1.12
-0.73;-0.65;0.54;224814;0.61;-1.27;0.72;-12.35;-1.42;5.89;1.24
-0.83;-0.35;0.41;224814;-1.02;2.90;-1.30;-12.43;-1.46;5.93;0.99
-0.82;-0.05;0.33;224814;0.11;3.08;-0.78;-12.52;-1.46;5.97;0.79
-0.82;0.27;0.15;224814;0.00;3.21;-1.81;-12.60;-1.44;5.98;0.77
-0.76;0.12;0.42;224815;0.64;-1.56;2.63;-12.67;-1.43;6.02;0.76
-0.75;0.38;0.31;224815;0.04;2.63;-1.07;-12.75;-1.39;6.05;0.81
-0.84;-0.08;0.37;224815;-0.90;-4.61;0.62;-12.83;-1.40;6.09;0.86
-0.85;-0.12;0.30;224815;-0.04;-0.40;-0.69;-12.92;-1.41;6.12;0.82
-0.80;-0.57;0.49;224815;0.49;-4.47;1.93;-13.00;-1.46;6.17;1.20
-0.73;-0.66;0.55;224815;0.67;-0.98;0.61;-13.07;-1.53;6.22;1.28
-0.82;-0.32;0.39;224815;-0.92;3.49;-1.67;-13.15;-1.56;6.26;0.93
-0.84;-0.04;0.34;224815;-0.17;2.72;-0.45;-13.24;-1.57;6.30;0.82
-0.88;0.22;0.39;224815;-0.42;2.61;0.50;-13.33;-1.54;6.34;0.98
-0.77;0.16;0.41;224815;1.17;-0.59;0.19;-13.40;-1.53;6.38;0.78
-0.76;0.34;0.31;224816;0.02;1.80;-1.03;-13.48;-1.49;6.41;0.79
-0.83;-0.02;0.34;224816;-0.65;-3.56;0.30;-13.56;-1.50;6.44;0.80
-0.82;-0.17;0.33;224816;0.03;-1.55;-0.12;-13.64;-1.51;6.47;0.82
-0.79;-0.61;0.50;224816;0.39;-4.38;1.75;-13.72;-1.57;6.52;1.24
-0.73;-0.65;0.56;224816;0.52;-0.39;0.59;-13.80;-1.64;6.58;1.27
-0.81;-0.17;0.34;224816;-0.72;4.78;-2.15;-13.88;-1.66;6.61;0.80
-0.84;-0.07;0.36;224816;-0.37;1.01;0.13;-13.96;-1.66;6.65;0.84
-0.77;0.40;0.23;224816;0.76;4.70;-1.26;-14.04;-1.62;6.67;0.80
-0.78;0.24;0.45;224816;-0.10;-1.64;2.17;-14.12;-1.60;6.72;0.86
-0.81;0.15;0.32;224816;-0.28;-0.82;-1.23;-14.20;-1.58;6.75;0.78
-0.83;-0.10;0.36;224817;-0.24;-2.57;0.36;-14.28;-1.59;6.79;0.83
-0.80;-0.22;0.34;224817;0.28;-1.20;-0.16;-14.36;-1.62;6.82;0.81
-0.78;-0.65;0.52;224817;0.23;-4.25;1.75;-14.44;-1.68;6.87;1.30
-0.77;-0.61;0.54;224817;0.10;0.37;0.15;-14.51;-1.74;6.93;1.25
-0.83;-0.19;0.35;224817;-0.65;4.16;-1.90;-14.60;-1.76;6.96;0.85
-0.84;0.01;0.32;224817;-0.02;2.09;-0.23;-14.68;-1.76;6.99;0.80
-0.77;0.34;0.35;224817;0.64;3.24;0.32;-14.76;-1.73;7.03;0.83
-0.78;0.26;0.42;224817;-0.06;-0.76;0.61;-14.84;-1.70;7.07;0.84
-0.83;0.20;0.26;224817;-0.49;-0.66;-1.59;-14.92;-1.68;7.10;0.79
-0.84;-0.09;0.32;224817;-0.19;-2.88;0.62;-15.00;-1.69;7.13;0.82
-0.79;-0.34;0.40;224818;0.51;-2.48;0.81;-15.08;-1.72;7.17;0.90
-0.74;-0.79;0.57;224818;0.58;-4.54;1.76;-15.16;-1.80;7.23;1.50
-0.85;-0.43;0.47;224818;-1.12;3.67;-1.01;-15.24;-1.85;7.27;1.12
