ax;ay;az;temp;dax;day;daz;iax;iay;iaz;norm
-0.35;0.54;0.88;181459;0.03;-0.00;0.05;-1.63;2.51;4.14;1.19
-0.34;0.53;0.88;181459;0.04;-0.04;0.01;-1.67;2.57;4.23;1.18
-0.35;0.53;0.88;18150;-0.06;-0.00;0.00;-1.70;2.62;4.32;1.19
-0.35;0.53;0.88;18150;-0.02;0.02;-0.02;-1.74;2.67;4.41;1.19
-0.35;0.53;0.88;18150;0.01;0.01;-0.06;-1.77;2.73;4.49;1.18
-0.35;0.54;0.88;18150;0.03;0.03;0.04;-1.81;2.78;4.58;1.18
-0.35;0.54;0.88;18150;-0.01;0.02;-0.01;-1.84;2.83;4.67;1.18
-0.35;0.54;0.88;18150;0.00;-0.04;0.00;-1.88;2.89;4.76;1.18
-0.35;0.54;0.88;18150;0.01;0.00;0.04;-1.91;2.94;4.85;1.19
-0.35;0.54;0.88;18150;-0.06;0.01;-0.08;-1.94;3.00;4.93;1.18
-0.35;0.53;0.88;18150;0.06;-0.04;0.01;-1.98;3.05;5.02;1.17
-0.35;0.53;0.88;18150;-0.02;0.01;0.06;-2.01;3.10;5.11;1.19
-0.35;0.54;0.88;18151;-0.00;0.01;-0.07;-2.05;3.16;5.20;1.18
-0.35;0.54;0.87;18151;-0.01;0.02;-0.01;-2.08;3.21;5.28;1.18
-0.34;0.53;0.88;18151;0.05;-0.04;0.02;-2.12;3.26;5.37;1.17
-0.35;0.53;0.87;18151;-0.02;-0.01;-0.04;-2.15;3.32;5.46;1.16
-0.34;0.53;0.88;18151;0.02;0.02;0.06;-2.19;3.37;5.55;1.18
-0.35;0.54;0.88;18151;-0.01;0.03;-0.02;-2.22;3.42;5.64;1.18
-0.34;0.54;0.88;18151;0.02;-0.01;0.05;-2.26;3.48;5.72;1.18
-0.35;0.54;0.88;18151;-0.04;-0.00;-0.04;-2.29;3.53;5.81;1.18
-0.35;0.54;0.89;18151;0.02;-0.00;0.11;-2.33;3.58;5.90;1.19
-0.35;0.54;0.89;18151;-0.04;0.02;-0.02;-2.36;3.64;5.99;1.20
-0.35;0.54;0.87;18152;0.02;-0.02;-0.12;-2.40;3.69;6.08;1.17
-0.35;0.54;0.88;18152;0.02;-0.00;0.04;-2.43;3.74;6.16;1.18
-0.35;0.54;0.88;18152;-0.04;0.02;0.03;-2.46;3.80;6.25;1.19
-0.35;0.54;0.89;18152;0.03;0.00;0.05;-2.50;3.85;6.34;1.19
-0.35;0.54;0.88;18152;-0.00;-0.02;-0.07;-2.53;3.91;6.43;1.18
-0.35;0.54;0.88;18152;-0.00;0.00;-0.00;-2.57;3.96;6.52;1.18
-0.35;0.53;0.88;18152;0.01;-0.04;0.03;-2.60;4.01;6.60;1.18
-0.34;0.54;0.88;18152;0.01;0.09;-0.04;-2.64;4.07;6.69;1.18
-0.35;0.54;0.88;18152;-0.02;-0.03;0.05;-2.67;4.12;6.78;1.19
-0.35;0.54;0.88;18152;-0.00;0.03;-0.05;-2.71;4.17;6.87;1.18
-0.35;0.53;0.88;18153;0.01;-0.06;0.03;-2.74;4.23;6.96;1.18
-0.35;0.54;0.88;18153;-0.02;0.03;-0.01;-2.78;4.28;7.04;1.18
-0.35;0.54;0.88;18153;0.02;0.01;-0.00;-2.81;4.34;7.13;1.18
-0.34;0.54;0.87;18153;0.04;-0.03;-0.04;-2.85;4.39;7.22;1.17
-0.34;0.54;0.88;18153;-0.02;0.02;0.09;-2.88;4.44;7.31;1.19
-0.35;0.54;0.88;18153;-0.03;-0.03;-0.07;-2.91;4.50;7.40;1.18
-0.34;0.54;0.88;18153;0.06;0.02;0.04;-2.95;4.55;7.48;1.18
-0.34;0.54;0.88;18153;-0.03;0.04;0.00;-2.98;4.60;7.57;1.19
-0.35;0.54;0.88;18153;-0.04;-0.04;-0.03;-3.02;4.66;7.66;1.18
-0.34;0.54;0.88;18153;0.09;0.02;0.06;-3.05;4.71;7.75;1.19
-0.34;0.54;0.87;18154;-0.04;-0.01;-0.08;-3.09;4.77;7.83;1.17
-0.35;0.54;0.88;18154;-0.01;-0.00;0.03;-3.12;4.82;7.92;1.18
-0.35;0.54;0.87;18154;-0.04;0.03;-0.04;-3.16;4.87;8.01;1.18
-0.34;0.54;0.87;18154;0.07;-0.04;0.01;-3.19;4.93;8.10;1.17
-0.34;0.54;0.87;18154;-0.00;0.01;0.00;-3.22;4.98;8.18;1.17
-0.35;0.54;0.88;18154;-0.03;0.02;0.01;-3.26;5.04;8.27;1.18
-0.35;0.54;0.88;18154;0.00;-0.03;0.07;-3.29;5.09;8.36;1.19
-0.35;0.54;0.88;18154;0.00;0.02;-0.03;-3.33;5.14;8.45;1.18
